
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Isabella', 'Fernandez', 'MicroTech', 'isabella.fernandez@example.com', '124-675-8910', 'Estados Unidos', 'User information saved.', '47', '2007-06-13 00:00:00', 'Femenino', 'Desarrollador/a de aplicaciones móviles', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Mateo', 'Silva', 'PicoTech', 'mateo.silva@example.com', '587-312-4560', 'Brasil', NULL, '56', '2013-07-26 00:00:00', 'Masculino', 'Ingeniero/a de sistemas', 'divorciado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Camila', 'Morales', 'PicoTech', 'camila.morales@example.com', '369-840-5721', 'Chile', NULL, '59', '2018-08-10 00:00:00', 'Femenino', 'Ingeniero/a de datos', 'soltero',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Nicolas', 'Ortega', 'PicoTech', 'nicolas.ortega@example.com', '743-610-3985', 'Perú', 'User information saved.', '31', '2019-09-26 00:00:00', 'Masculino', 'Diseñador/a de experiencia de usuario (UX)', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Lucia', 'Herrera', 'PicoTech', 'lucia.herrera@example.com', '215-978-4632', 'Italia', NULL, '57', '2010-04-27 00:00:00', 'Femenino', 'Desarrollador/a de software', 'divorciado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Leonardo', 'Castro', 'NanoTech', 'leonardo.castro@example.com', '871-203-5874', 'Francia', 'User information saved.', '53', '2017-05-27 00:00:00', 'Masculino', 'Ingeniero/a de sistemas', 'soltero',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Victoria', 'Jimenez', 'NanoTech', 'victoria.jimenez@example.com', '509-126-7348', 'Canadá', 'User information saved.', '64', '2004-09-15 00:00:00', 'Femenino', 'Ingeniero/a de datos', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Andres', 'Rojas', 'PicoTech', 'andres.rojas@example.com', '398-574-0216', 'Venezuela', NULL, '61', '2005-11-16 00:00:00', 'Masculino', 'Diseñador/a de interfaces de usuario (UI)', 'casado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Martina', 'Diaz', 'PicoTech', 'martina.diaz@example.com', '632-840-1957', 'Alemania', 'User information saved.', '55', '2012-06-15 00:00:00', 'Femenino', 'Arquitecto/a de software', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Diego', 'Sanchez', 'NanoTech', 'diego.sanchez@example.com', '176-943-5082', 'Ecuador', 'User information saved.', '64', '2004-08-01 00:00:00', 'Masculino', 'Desarrollador/a de aplicaciones móviles', 'divorciado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Natalia', 'Paredes', 'MicroTech', 'natalia.paredes@example.com', '950-751-4263', 'Australia', NULL, '58', '2015-08-24 00:00:00', 'Femenino', 'Ingeniero/a de sistemas', 'soltero',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Sofia', 'Martinez', 'NanoTech', 'sofia.martinez@example.com', '265-950-5974', 'Argentina', 'User information saved.', '32', '2001-12-19 00:00:00', 'Femenino', 'Ingeniero/a de datos', 'viudo',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Alejandro', 'Gonzalez', 'PicoTech', 'alejandro.gonzalez@example.com', '842-761-3025', 'México', NULL, '29', '2022-02-06 00:00:00', 'Masculino', 'Desarrollador/a de software', 'divorciado',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Valentina', 'Lopez', 'PicoTech', 'valentina.lopez@example.com', '617-459-1237', 'Colombia', 'User information saved.', '30', '2023-03-12 00:00:00', 'Femenino', 'Diseñador/a de experiencia de usuario (UX)', 'soltero',)
insert into [dbo].[customers] (nombre, apellido, compañia, email, telefono, pais, validacion, edad, inscripcion, Genero, profesion, estado_civil) values ('Gabriel', 'Ramirez', 'NanoTech', 'gabriel.ramirez@example.com', '956-708-2468', 'España', NULL, '63', '2021-02-01 00:00:00', 'Masculino', 'Arquitecto/a de software', 'viudo',)
